label,text
1,  go depression open thread
0,  good afternoon take look project
1,  depressed feeling like
0,  anxiety pleasure guilty pleasure
1,  sorry talk right do girl laundry depress
0,  feel today feel anxiety negative attitude away make want feeling pretty good awesome energy feel light come hope do
1,  date depression thread
1,  just stay topic overwhelm exhaust trigger depress energy
1,  stressful unrewarding unpaid labor frequent
0,  height definitely point change height
1,  make thread look think suicidal
1,  whoop dare anxiety stomach
0,  force deep
0,  just want leave
1,  honestly buster bitch social medium depress make feel insecure good morning
1,  people depress go depression
0,  partner depression kindness love magic
0,  time host come blaze great host want experience extraordinary moment
1,  tough depress
1,  know handle anxiety depress panic attack
1,  kill suicide squad riot viola content
1,  maybe start leave base early feel depress
1,  leave think morning live future imagine
1,  stop depression tell curse live normally usually bring make feel dull bore able leave day super scary
1,  suicide
0,  visit purchase
0,  just blindly follow
0,  smith especially
0,  help take comfortable admit world wish sooner
0,  big scoundrel beg life
1,  public intoxication fear treat anxiety
0,  tell heart problem simply anxiety
1,  miss life covid anxiety
1,  refuse allow impress oppress depress
1,  fly southwest anxiety peg dial
1,  people anxiety depression bottle inside talk want expression heal
1,  know fact crazy anxiety depression
1,  post rich depression candid track project
1,  shut depress
1,  dont desire know depression dont like live life fall chasm
0,  know maybe just dont care racism impact black people white people
1,  literally anxiety
1,  course slave trade people migrate work like dog make massive working class wage depress depress inflation didnt stop leave
1,  tweet say body like like depress instead spread negative energy
1,  anybody suicide
0,  cold pack
0,  sure glad easter weekend live outbreak variant brazil
1,  dont masochism thats really body feel well come home miserable work suck toxin depress learn
1,  depression push away sadly just depress
0,  exact number harry roque test time easy test
1,  anxiety make think just lazy person
1,  actual cheating republican voter suppression limit drop
0,  really want depressed championship ring
1,  love covid call social anxiety agoraphobia actual evidence people selfish irresponsible vulnerable potentially life threaten illness anxiety irrational
1,  rude anxiety bad doctor bitch help like
1,  thing unskilled labour concept do exist drop
0,  sure depressed mean exactly happy laugh joke smile
1,  tinder age depress possibly menopausal able broken
1,  suicide squad right
1,  lose game respective sanction depress nickname text insulting
1,  want depress
0,  dont depress depress person call normal
1,  relationship communication main assumption depression make insecureness worse
0,  make woman borrow money woman say
1,  create depress depressed create
0,  array cause diabetes anxiety depression kidney failure cirrhosis heart disease dont crap people political play
1,  sneak peek anxiety oracle right
0,  wish didnt anxiety high
1,  hyperactivity brain region depress
1,  just like drug addiction depression anger partner accountable impact relationship responsibility
1,  hate anxiety feel sleepy
1,  good football temporary depression permanent
0,  ameen depress long single just pray well thank doctor feel relieve
1,  buddy just risk thats high know clutch make impact bench go suicide
1,  depression black hole laziness unwillingness way treatment
1,  suicide just
1,  political assassination inform
1,  head depress
1,  feel anxious depressed feel seek help affect moment reflect hard living lucky
0,  reiterate impression easy race depress turnout crush create feeling base actually work favor
0,  post
1,  pandemic anxiety real dont energy
1,  suicide bomber crack joke blow apart
1,  depress like
0,  young people past year include scarring say noble director
0,  strong heart people commit suicide base certain agree true episode interview bring
1,  woke middle night feel lose hard realizing there share anxiety
1,  intense anxiety drive literally
1,  anxiety bad
0,  left need raise society need forward
0,  calm favorite soothe gentle calm attractive love good comforting
0,  struggle keep brave face push forward appreciate arent
1,  place like suicide zone exit road main road like invite death
0,  ability induce anxiety person gift
1,  fact give depression beam
0,  literally friend main tell mother
1,  engage bear depression
0,  social anxiety go interesting
0,  feel like melt anxiety increase
0,  crush crushed receive perfect peace glorify
1,  probably just try daddy beshear political suicide final ruling
0,  depressed imagine funny happy
0,  rest house national party
1,  trigger warn eat suicide post desperately need help
1,  sure depression depressive thinking draw day time aside paper think real problem hard
1,  literally just live week get uncomfortably depress tried stop end self harm probably wouldnt like need life
0,  suggest high number longer recovery
0, 
1,  impose disastrous create massive anxiety drive people suicide count
1,  lawyer take life day live try time anxiety depression
1,  do require commercial suicide insist
0,  regardless societal status depression love spoke
1,  psychology root cause unhappiness depression
0,  connection avoidance religion think want go hand hand
1,  anxiety
0,  semi
1,  smith work suicide
1,  need life little complicate seek depress health
1,  think depression poison good maybe margin people avoid suicide clearly terrible
1,  sing suicide song cause need
1,  depression
1,  home round clock nirvana couple day like suicide note go upstairs nirvana keep do make sense
1,  bos horse racing say leave sick photo sit dead horse
0,  main time food delivery crutch feed just order salad make
